Player,team,Target,Rec,Yard,TD,pos,week,year,h/a,oppt,fd_points,fd_salary,dk_points,dk_salary,all_data,spread,total,money_odds_neg,money_odds_pos
Ed Dickson,CAR,2.0,1.0,11.0,0.0,TE,4.0,2015.0,a,TAM,7.6,4500.0,8.1,2500.0,True,-3.0,40.5,-160.0,+140
Mychal Rivera,OAK,3.0,2.0,12.0,0.0,TE,4.0,2015.0,a,CHI,2.2,4900.0,3.2,2500.0,True,-3.0,44.5,-175.0,+155
Nick Boyle,BAL,4.0,3.0,12.0,0.0,TE,4.0,2015.0,a,PIT,2.7,4500.0,4.2,2500.0,True,-3.0,44.0,-150.0,+130
Lee Smith,OAK,2.0,2.0,14.0,0.0,TE,4.0,2015.0,a,CHI,2.4,0.0,3.4,2500.0,True,-3.0,44.5,-175.0,+155
Luke Willson,SEA,3.0,2.0,15.0,0.0,TE,4.0,2015.0,h,DET,2.5,4500.0,3.5,2500.0,True,-10.0,43.0,-575.0,+425
Chris Gragg,BUF,1.0,1.0,15.0,0.0,TE,4.0,2015.0,h,NYG,2.0,4500.0,2.5,2500.0,True,-6.0,46.5,-265.0,+225
Maxx Williams,BAL,4.0,2.0,17.0,0.0,TE,4.0,2015.0,a,PIT,2.7,4700.0,3.7,2500.0,True,-3.0,44.0,-150.0,+130
Darren Fells,ARI,1.0,1.0,17.0,0.0,TE,4.0,2015.0,h,STL,2.2,4600.0,2.7,2500.0,True,-7.0,43.5,-320.0,+270
Gavin Escobar,DAL,1.0,0.0,0.0,0.0,TE,4.0,2015.0,a,NOR,0.0,4500.0,0.0,2500.0,True,3.0,48.5,-155.0,+135
David Johnson,SD,1.0,0.0,0.0,0.0,TE,4.0,2015.0,h,CLE,0.0,4500.0,0.0,2500.0,True,-5.0,44.5,-240.0,+200
Lance Kendricks,STL,2.0,0.0,0.0,0.0,TE,4.0,2015.0,a,ARI,0.0,4600.0,0.0,2500.0,True,7.0,43.5,-320.0,+270
Derek Carrier,WAS,3.0,2.0,27.0,1.0,TE,5.0,2015.0,a,ATL,9.7,4500.0,10.7,2500.0,True,7.0,48.5,-320.0,+260
Richard Rodgers,GB,8.0,6.0,45.0,0.0,TE,5.0,2015.0,h,STL,7.5,5100.0,10.5,2900.0,True,-9.0,46.0,-460.0,+360
Heath Miller,PIT,3.0,3.0,46.0,0.0,TE,5.0,2015.0,a,SDG,6.1,5500.0,7.6,3300.0,True,4.0,45.5,-210.0,+180
Will Tye,NYG,4.0,4.0,48.0,0.0,TE,5.0,2015.0,h,SFO,6.8,,8.8,2500.0,False,-7.5,44.0,-360.0,+300
Ladarius Green,SD,5.0,5.0,50.0,0.0,TE,5.0,2015.0,h,PIT,7.5,5100.0,10.0,3200.0,True,-4.0,45.5,-210.0,+180
Zach Ertz,PHI,7.0,5.0,60.0,0.0,TE,5.0,2015.0,h,NOR,8.5,5000.0,11.0,2900.0,True,-6.5,49.5,-275.0,+235
Rob Gronkowski,NE,5.0,4.0,67.0,0.0,TE,5.0,2015.0,a,DAL,8.7,8400.0,10.7,7500.0,True,-8.5,50.5,-420.0,+350
Darren Fells,ARI,2.0,2.0,25.0,1.0,TE,5.0,2015.0,a,DET,9.5,4600.0,10.5,2500.0,True,-4.5,46.0,-215.0,+185
Garrett Celek,SF,5.0,3.0,26.0,1.0,TE,5.0,2015.0,a,NYG,10.1,4500.0,11.6,2500.0,True,7.5,44.0,-360.0,+300
Jacob Tamme,ATL,10.0,8.0,94.0,0.0,TE,5.0,2015.0,h,WAS,13.4,4700.0,17.4,2500.0,True,-7.0,48.5,-320.0,+260
MyCole Pruitt,MIN,1.0,0.0,0.0,0.0,TE,4.0,2015.0,a,DEN,0.0,4500.0,0.0,2500.0,True,7.0,43.5,-315.0,+265
Larry Donnell,NYG,7.0,6.0,35.0,1.0,TE,5.0,2015.0,h,SFO,12.5,5200.0,15.5,2900.0,True,-7.5,44.0,-360.0,+300
Ben Watson,NO,5.0,3.0,36.0,1.0,TE,5.0,2015.0,a,PHI,11.1,4600.0,12.6,2500.0,True,6.5,49.5,-275.0,+235
Brent Celek,PHI,3.0,3.0,44.0,1.0,TE,5.0,2015.0,h,NOR,11.9,4700.0,13.4,2500.0,True,-6.5,49.5,-275.0,+235
Gary Barnidge,CLE,10.0,8.0,139.0,1.0,TE,5.0,2015.0,a,BAL,23.9,5400.0,30.9,3800.0,True,6.5,43.0,-280.0,+240
Tyler Eifert,CIN,12.0,8.0,90.0,2.0,TE,5.0,2015.0,h,SEA,25.0,5600.0,29.0,4600.0,True,-3.0,44.5,-170.0,+150
Antonio Gates,SD,11.0,9.0,92.0,2.0,TE,5.0,2015.0,h,PIT,25.7,0.0,30.2,4200.0,True,-4.0,45.5,-210.0,+180
Clive Walford,OAK,1.0,0.0,0.0,0.0,TE,4.0,2015.0,a,CHI,0.0,4500.0,0.0,2500.0,True,-3.0,44.5,-175.0,+155
Levine Toilolo,ATL,0.0,0.0,0.0,0.0,TE,4.0,2015.0,h,HOU,0.0,4500.0,0.0,2500.0,True,-4.5,47.5,-220.0,+180
Tyler Eifert,CIN,4.0,4.0,30.0,1.0,TE,6.0,2015.0,a,BUF,11.0,6000.0,13.0,4900.0,True,-3.0,42.0,-160.0,+140
Tim Wright,DET,6.0,3.0,17.0,1.0,TE,6.0,2015.0,h,CHI,9.2,4500.0,10.7,2500.0,True,-3.5,45.5,-195.0,+170
Jordan Cameron,MIA,9.0,2.0,19.0,0.0,TE,4.0,2015.0,h,NYJ,2.9,5300.0,3.9,3400.0,True,2.5,42.5,-145.0,+125
Michael Hoomanawanui,NO,5.0,5.0,31.0,1.0,TE,7.0,2015.0,a,IND,11.6,4600.0,14.1,2500.0,True,5.0,53.0,-240.0,+200
Nick Boyle,BAL,2.0,2.0,20.0,0.0,TE,7.0,2015.0,a,ARI,5.0,4500.0,6.0,2500.0,True,10.0,49.5,-500.0,+400
Anthony Fasano,TEN,4.0,3.0,21.0,0.0,TE,7.0,2015.0,h,ATL,3.6,5000.0,5.1,2500.0,True,6.0,45.5,-250.0,+210
Luke Stocker,TB,4.0,3.0,22.0,0.0,TE,7.0,2015.0,a,WAS,3.7,4500.0,5.2,2500.0,True,3.0,41.5,-155.0,+135
Jordan Cameron,MIA,2.0,2.0,23.0,0.0,TE,7.0,2015.0,h,HOU,3.3,5500.0,4.3,3300.0,True,-4.5,45.5,-220.0,+185
Charles Clay,BUF,5.0,3.0,26.0,0.0,TE,7.0,2015.0,a,JAC,4.1,5500.0,5.6,4300.0,True,-3.5,41.5,-185.0,+165
Jimmy Graham,SEA,5.0,2.0,31.0,0.0,TE,7.0,2015.0,a,SFO,4.1,6300.0,5.1,5400.0,True,-6.5,42.0,-300.0,+250
Scott Chandler,NE,2.0,2.0,34.0,0.0,TE,7.0,2015.0,h,NYJ,4.4,4900.0,5.4,2500.0,True,-7.0,47.5,-325.0,+265
Chris Gragg,BUF,7.0,2.0,35.0,0.0,TE,7.0,2015.0,a,JAC,4.5,4500.0,5.5,2700.0,True,-3.5,41.5,-185.0,+165
Jacob Tamme,ATL,6.0,3.0,36.0,0.0,TE,7.0,2015.0,a,TEN,5.1,5100.0,6.6,2900.0,True,-6.0,45.5,-250.0,+210
Coby Fleener,IND,5.0,3.0,47.0,0.0,TE,7.0,2015.0,h,NOR,6.2,5100.0,7.7,3000.0,True,-5.0,53.0,-240.0,+200
Crockett Gillmore,BAL,7.0,5.0,53.0,0.0,TE,7.0,2015.0,a,ARI,7.8,5000.0,10.3,2500.0,True,10.0,49.5,-500.0,+400
Delanie Walker,TEN,9.0,7.0,55.0,0.0,TE,7.0,2015.0,h,ATL,9.0,5500.0,12.5,3900.0,True,6.0,45.5,-250.0,+210
Ben Watson,NO,5.0,4.0,59.0,0.0,TE,7.0,2015.0,a,IND,7.9,5300.0,9.9,3300.0,True,5.0,53.0,-240.0,+200
Vernon Davis,SF,6.0,4.0,61.0,0.0,TE,7.0,2015.0,h,SEA,8.1,4800.0,10.1,3000.0,True,6.5,42.0,-300.0,+250
Jermaine Gresham,ARI,6.0,4.0,62.0,0.0,TE,7.0,2015.0,h,BAL,8.2,4500.0,10.2,2500.0,True,-10.0,49.5,-500.0,+400
