rank_x,team,ru_att,ru_yds_x,ru_avg_x,ru_td_x,ru_first,week,to_rank,to_plus_minus,to_takeaway_int,to_takeaway_fum,to_giveaway_int,to_giveaway_fum,rank_y,pa_comp,pa_att,pa_pct,pa_yds_x,pa_yds/att_x,pa_yds/rec,pa_td_x,pa_int,pa_qbr,pa_sacks,pa_yds_lost_sack,pa_fd,tot_fum,fum_lost,rank_x,first_tot,first_rush,first_pass,third_conv,third_att,third_pct,fourth_conv,fourth_att,fouth_pct,pen_num,pen_for_first,pen_yds_x,rank_y,tot_yds,ru_yds_y,ru_avg_y,ru_td_y,pa_yds_y,pa_yds/att_y,pa_yds/catch,pa_td_y,kr_yds,pr_yds,pen_yds_y
11,New YorkGiants,28,92,3.3,0,4,4,7,1,1,1,1,0,17,20,35,57.1%,211,6.0,10.6,3,1,91.5,1,1,8,0,0,16,19,4,8,3,15,20.0%,0,0,-,11,7,85,24,303,92,3.3,0,211,6.0,10.6,3,25,18,85
11,JacksonvilleJaguars,28,142,5.1,0,5,4,4,2,0,2,0,0,8,28,50,56.0%,289,5.8,10.6,1,0,79.5,1,9,15,0,0,12,21,5,15,7,18,39.0%,0,0,-,13,1,92,7,431,142,5.1,0,289,5.8,10.6,1,0,17,92
11,DallasCowboys,28,115,4.1,1,4,4,15,0,0,0,0,0,25,16,26,61.5%,220,8.5,15.4,1,0,101.4,3,26,11,0,0,12,21,4,11,3,12,25.0%,1,1,100.0%,6,6,30,18,335,115,4.1,1,220,8.5,15.4,1,40,0,30
14,CincinnatiBengals,26,124,4.8,4,8,4,7,1,0,1,0,0,23,17,24,70.8%,321,13.4,18.9,1,0,127.1,0,0,10,0,0,18,18,8,10,6,10,60.0%,0,0,-,11,0,84,3,445,124,4.8,4,321,13.4,18.9,1,53,7,84
14,St. LouisRams,26,164,6.3,0,6,4,3,3,1,2,0,0,25,16,24,66.7%,164,6.8,10.7,3,0,125.7,1,7,7,0,0,28,13,6,7,5,13,38.0%,0,0,-,7,0,66,19,328,164,6.3,0,164,6.8,10.7,3,121,0,66
16,New OrleansSaints,25,103,4.1,1,7,4,15,0,0,0,0,0,1,33,41,80.5%,335,8.2,10.9,2,0,117.0,3,24,17,0,0,1,27,7,17,6,13,46.0%,1,1,100.0%,8,3,64,4,438,103,4.1,1,335,8.2,10.9,2,34,34,64
17,BuffaloBills,24,55,2.3,0,2,4,17,-1,1,0,1,1,8,28,42,66.7%,258,6.1,9.8,1,1,81.3,2,16,11,0,0,26,14,2,11,3,16,19.0%,1,3,33.0%,17,1,135,23,313,55,2.3,0,258,6.1,9.8,1,68,20,135
17,IndianapolisColts,24,60,2.5,0,3,4,25,-2,0,0,0,2,5,30,47,63.8%,266,5.7,9.4,1,0,85.9,3,16,14,1,0,10,22,3,14,7,15,47.0%,0,0,-,4,5,45,20,326,60,2.5,0,266,5.7,9.4,1,72,16,45
17,DenverBroncos,24,144,6.0,1,4,4,17,-1,0,1,2,0,23,17,27,63.0%,200,7.4,12.5,1,2,66.9,2,13,11,0,0,18,18,4,11,2,9,22.0%,1,1,100.0%,8,3,40,17,344,144,6.0,1,200,7.4,12.5,1,55,2,40
20,Kansas CityChiefs,23,113,4.9,0,8,4,17,-1,0,0,0,1,3,31,45,68.9%,348,7.7,12.5,0,0,91.7,5,38,13,0,0,5,24,8,13,7,16,44.0%,0,0,-,7,3,46,1,461,113,4.9,0,348,7.7,12.5,0,109,0,46
21,OaklandRaiders,22,70,3.2,0,3,4,7,1,1,2,1,1,17,20,33,60.6%,173,5.2,9.8,2,1,82.0,2,23,12,0,0,25,16,3,12,6,13,46.0%,0,0,-,5,1,47,28,243,70,3.2,0,173,5.2,9.8,2,58,29,47
22,San DiegoChargers,21,91,4.3,0,3,4,7,1,0,1,0,0,14,23,38,60.5%,347,9.1,15.6,3,0,116.9,2,11,15,0,0,7,23,3,15,3,11,27.0%,0,0,-,6,5,31,4,438,91,4.3,0,347,9.1,15.6,3,112,5,31
22,ClevelandBrowns,21,100,4.8,0,2,4,17,-1,0,0,0,1,2,32,41,78.0%,332,8.1,11.1,2,0,116.7,4,24,16,1,1,15,20,2,16,4,13,31.0%,0,0,-,12,2,91,6,432,100,4.8,0,332,8.1,11.1,2,110,41,91
22,ArizonaCardinals,21,113,5.4,0,7,4,28,-3,0,0,1,2,6,29,46,63.0%,334,7.3,12.1,1,1,83.1,4,18,17,1,0,2,26,7,17,2,11,18.0%,1,2,50.0%,3,2,20,2,447,113,5.4,0,334,7.3,12.1,1,19,32,20
22,MinnesotaVikings,21,113,5.4,1,5,4,7,1,2,0,0,1,11,27,41,65.9%,212,5.2,10.0,1,0,86.6,7,57,13,1,1,16,19,5,13,6,16,38.0%,2,2,100.0%,9,1,63,21,325,113,5.4,1,212,5.2,10.0,1,34,7,63
26,San Francisco49ers,19,77,4.1,0,1,4,17,-1,0,0,1,0,29,13,25,52.0%,119,4.8,12.3,0,1,48.6,6,41,7,0,0,30,8,1,7,4,13,31.0%,0,1,0.0%,4,0,30,30,196,77,4.1,0,119,4.8,12.3,0,20,12,30
27,PhiladelphiaEagles,18,87,4.8,0,4,4,17,-1,0,1,0,2,28,15,28,53.6%,233,8.3,18.0,3,0,117.1,5,37,6,0,0,26,14,4,6,4,12,33.0%,0,1,0.0%,8,4,72,22,320,87,4.8,0,233,8.3,18.0,3,0,45,72
27,DetroitLions,18,53,2.9,0,1,4,4,2,0,3,0,1,13,24,35,68.6%,203,5.8,8.5,0,0,83.4,0,0,10,0,0,29,12,1,10,3,13,23.0%,0,0,-,4,1,37,26,256,53,2.9,0,203,5.8,8.5,0,54,29,37
29,HoustonTexans,17,54,3.2,1,3,4,29,-4,0,0,1,3,6,29,57,50.9%,374,6.6,13.2,2,1,76.2,1,8,19,0,0,5,24,3,19,7,15,47.0%,0,2,0.0%,5,2,35,8,428,54,3.2,1,374,6.6,13.2,2,70,40,35
30,MiamiDolphins,11,59,5.4,0,4,4,17,-1,1,0,2,0,20,19,44,43.2%,167,3.8,10.4,2,2,50.1,3,31,8,1,0,22,17,4,8,0,12,0.0%,0,4,0.0%,9,5,80,29,226,59,5.4,0,167,3.8,10.4,2,141,67,80
1,Tampa BayBuccaneers,40,183,4.6,2,8,5,2,2,1,1,0,0,24,13,19,68.4%,186,9.8,16.1,1,0,117.4,2,23,11,0,0,14,20,8,11,5,11,45.0%,0,0,-,10,1,72,13,369,183,4.6,2,186,9.8,16.1,1,0,85,72
2,St. LouisRams,36,191,5.3,0,8,5,17,-1,2,1,4,0,26,12,31,38.7%,143,4.6,13.4,1,4,24.7,3,18,8,1,0,20,17,8,8,5,18,28.0%,1,1,100.0%,8,1,40,17,334,191,5.3,0,143,4.6,13.4,1,25,4,40
3,PhiladelphiaEagles,34,186,5.5,2,11,5,2,2,1,3,2,0,5,32,45,71.1%,333,7.4,10.4,2,2,88.5,0,0,18,0,0,1,34,11,18,4,11,36.0%,0,2,0.0%,4,5,35,2,519,186,5.5,2,333,7.4,10.4,2,40,0,35
4,AtlantaFalcons,32,176,5.5,1,12,5,17,-1,2,0,2,1,12,24,42,57.1%,242,5.8,10.6,0,2,53.9,3,12,14,1,1,3,29,12,14,6,15,40.0%,3,3,100.0%,4,3,62,7,418,176,5.5,1,242,5.8,10.6,0,0,14,62
5,CincinnatiBengals,31,109,3.5,1,6,5,17,-1,1,0,1,1,7,30,44,68.2%,310,7.0,11.0,2,1,93.9,4,21,18,0,0,5,27,6,18,6,15,40.0%,0,0,-,7,3,50,6,419,109,3.5,1,310,7.0,11.0,2,87,93,50
5,BaltimoreRavens,31,181,5.8,3,10,5,13,0,0,0,0,0,19,19,35,54.3%,196,5.6,11.1,1,0,80.2,1,14,9,0,0,9,22,10,9,5,14,36.0%,0,0,-,12,3,98,12,377,181,5.8,3,196,5.6,11.1,1,143,30,98
7,IndianapolisColts,30,110,3.7,1,6,5,2,2,2,0,0,0,21,18,29,62.1%,213,7.3,11.8,2,0,107.4,0,0,10,0,0,9,22,6,10,3,11,27.0%,1,1,100.0%,7,6,65,20,323,110,3.7,1,213,7.3,11.8,2,74,16,65
7,SeattleSeahawks,30,200,6.7,1,7,5,6,1,1,1,1,0,23,15,23,65.2%,197,8.6,14.2,1,1,88.5,4,16,9,0,0,22,16,7,9,5,13,38.0%,0,0,-,10,0,112,9,397,200,6.7,1,197,8.6,14.2,1,21,8,112
9,HoustonTexans,28,82,2.9,0,5,5,24,-2,0,0,2,0,6,31,41,75.6%,362,8.8,11.7,2,2,97.8,1,0,17,0,0,7,24,5,17,8,16,50.0%,1,1,100.0%,13,2,125,4,444,82,2.9,0,362,8.8,11.7,2,0,11,125
9,TennesseeTitans,28,97,3.5,1,4,5,13,0,0,1,1,0,16,21,32,65.6%,179,5.6,8.9,0,1,67.1,2,8,10,0,0,20,17,4,10,5,13,38.0%,0,0,-,9,3,74,25,276,97,3.5,1,179,5.6,8.9,0,53,66,74
9,BuffaloBills,28,127,4.5,1,5,5,13,0,1,0,0,1,28,11,18,61.1%,82,4.6,10.3,1,0,90.5,4,31,6,0,0,28,13,5,6,4,12,33.0%,0,0,-,7,2,62,28,209,127,4.5,1,82,4.6,10.3,1,24,40,62
12,Green BayPackers,27,86,3.2,0,4,5,6,1,4,0,2,1,19,19,30,63.3%,236,7.9,12.7,2,2,82.1,2,5,9,1,1,26,14,4,9,4,13,31.0%,0,1,0.0%,7,1,67,21,322,86,3.2,0,236,7.9,12.7,2,0,9,67
12,San Francisco49ers,27,124,4.6,1,8,5,6,1,1,0,0,0,13,23,35,65.7%,256,7.3,11.4,2,0,106.4,2,6,11,1,0,9,22,8,11,8,14,57.0%,0,0,-,4,3,28,11,380,124,4.6,1,256,7.3,11.4,2,25,16,28
12,PittsburghSteelers,27,155,5.7,1,8,5,6,1,1,1,1,0,24,13,26,50.0%,194,7.5,15.6,1,1,71.6,3,9,5,0,0,26,14,8,5,5,14,36.0%,0,0,-,8,1,86,15,349,155,5.7,1,194,7.5,15.6,1,62,27,86
15,ChicagoBears,26,87,3.3,0,5,5,17,-1,0,0,0,1,8,26,45,57.8%,241,5.4,9.7,2,0,87.4,2,11,14,2,1,12,21,5,14,6,14,43.0%,0,1,0.0%,6,2,49,18,328,87,3.3,0,241,5.4,9.7,2,0,20,49
16,Kansas CityChiefs,25,117,4.7,0,6,5,6,1,0,1,0,0,22,16,30,53.3%,170,5.7,11.3,1,0,81.3,3,11,9,0,0,22,16,6,9,5,14,36.0%,0,0,-,3,1,49,24,287,117,4.7,0,170,5.7,11.3,1,30,17,49
16,ClevelandBrowns,25,83,3.3,1,4,5,13,0,0,0,0,0,3,36,51,70.6%,422,8.3,12.7,2,0,108.5,4,35,18,0,0,6,25,4,18,12,19,63.0%,0,0,-,9,3,74,3,505,83,3.3,1,422,8.3,12.7,2,15,2,74
16,ArizonaCardinals,25,187,7.5,3,7,5,1,6,4,2,0,0,26,12,18,66.7%,158,8.8,14.3,3,0,133.8,2,13,7,0,0,24,15,7,7,1,8,13.0%,0,0,-,9,1,70,16,345,187,7.5,3,158,8.8,14.3,3,35,16,70
16,OaklandRaiders,25,65,2.6,0,3,5,17,-1,2,0,1,2,8,26,39,66.7%,223,5.7,9.6,1,1,79.3,4,26,13,1,1,14,20,3,13,7,16,44.0%,1,2,50.0%,6,4,41,23,288,65,2.6,0,223,5.7,9.6,1,45,25,41
20,WashingtonRedskins,24,51,2.1,1,4,5,6,1,2,1,2,0,16,21,32,65.6%,219,6.8,10.4,1,2,69.7,1,0,13,0,0,18,18,4,13,4,12,33.0%,1,1,100.0%,5,1,51,26,270,51,2.1,1,219,6.8,10.4,1,53,10,51
20,DallasCowboys,24,100,4.2,0,5,5,24,-2,0,0,1,1,8,26,39,66.7%,164,4.2,7.2,0,1,64.5,3,24,10,0,0,18,18,5,10,4,14,29.0%,1,2,50.0%,7,3,50,27,264,100,4.2,0,164,4.2,7.2,0,21,6,50
22,New EnglandPatriots,23,109,4.7,1,5,5,2,2,1,1,0,0,18,20,27,74.1%,247,9.1,13.8,2,0,126.6,5,28,11,1,0,14,20,5,11,3,10,30.0%,0,1,0.0%,9,4,65,14,356,109,4.7,1,247,9.1,13.8,2,0,52,65
23,New OrleansSaints,21,96,4.6,0,5,5,24,-2,2,0,1,3,8,26,43,60.5%,292,6.8,12.9,2,1,86.6,5,43,14,2,2,17,19,5,14,8,16,50.0%,1,1,100.0%,7,0,78,10,388,96,4.6,0,292,6.8,12.9,2,85,1,78
23,New YorkGiants,21,84,4.0,0,6,5,17,-1,0,0,1,0,1,41,54,75.9%,441,8.2,10.8,3,1,110.2,0,0,23,0,0,2,30,6,23,9,14,64.0%,0,0,-,6,1,65,1,525,84,4.0,0,441,8.2,10.8,3,44,31,65
25,San DiegoChargers,19,52,2.7,0,2,5,17,-1,1,0,1,1,4,35,48,72.9%,354,7.4,10.4,2,1,98.8,2,11,20,0,0,7,24,2,20,4,14,29.0%,0,0,-,7,2,54,8,406,52,2.7,0,354,7.4,10.4,2,30,5,54
